SL Target,SEQID,Module,Primary Target,Exposure (s),RA,DEC,PA,,In old sheet?,Notes
4U 1708-40,90401317002,A,Swift_J1658d2m4242,2.84930E+04,254.58,-42.6784,183.1056,2,Y,"Weak SL, strong source "
4U 1724-30,30101043002,A,PSR_J1723m2837,8.18765E+04,260.8116,-28.6529,340.9266,1,Y,Strong SL
4U 1724-30,60061279002,A,GRS1734m292,2.02926E+04,264.3462,-29.1582,336.5919,0,Y,Multiple
4U 1724-30,60301010002,B,GRS_1734m292,2.60203E+04,264.3939,-29.1035,174.934,0,Y,"Strong SL, and some on FPMA"
4U 1724-30,90101009002,B,Rapid_Burster,4.66489E+04,263.3231,-33.403,340.4116,0,Y,Slice near edge of FoV
4U 1724-30,90301012002,A,IGRJ17329m2731,2.08460E+04,263.1904,-27.5221,336.0032,0,Y,Corner SL
4U 1724-30,90401321002,A,CXOU_J173324d6m332321,5.51940E+04,263.383,-33.3658,169.7033,1,Y,"Multiple, one covering full FoV"
4U 1724-30,90401321002,B,CXOU_J173324d6m332321,5.51940E+04,263.383,-33.3658,169.7033,1,Y,SL/GR in both (GR GX 354-0)
4U 1746-370,90102003006,A,SAX_J1808d4m3658,8.38123E+04,272.1471,-36.9792,211.2176,0,Y,Tiny Corner Source
4U 1746-370,90102003006,B,SAX_J1808d4m3658,8.38123E+04,272.1471,-36.9792,211.2176,0,Y,Tiny Corner Source
4U 1746-370,90401312002,A,IGR_J17379m3747,3.73598E+04,264.5251,-37.7505,161.1978,0,Y,"SL on FPMA, unidentified"
4U 1820-303,90001009002,A,Nova_Sgr_2015_2,5.20168E+04,279.2596,-28.9012,150.7722,0,Y,Edge SL on both
4U 1820-303,90001009002,B,Nova_Sgr_2015_2,5.20168E+04,279.2596,-28.9012,150.7722,1,Y,Strong edge of FoV in both
4U 1822-371,60101077002,A,IRAS_F18293m3413,2.17707E+04,278.1933,-34.1716,143.0975,1,Y,Corner SL on both
4U 1822-371,60101077002,B,IRAS_F18293m3413,2.17707E+04,278.1933,-34.1716,143.0975,1,Y,SL on both
4U 1822-371,90102003006,A,SAX_J1808d4m3658,8.38123E+04,272.1471,-36.9792,211.2176,0,Y,Two corner SL sources (1 on B)
4U 1822-371,90501335002,A,SAX_J1808d4m3658,41025.0505,272.1002,-37.0145,321.0881,3,N,Corner SL in both FPMs
4U 1822-371,90501335002,B,SAX_J1808d4m3658,41025.0505,272.1002,-37.0145,321.0881,3,N,Corner SL in both FPMs 
4U 1909+07,30002041016,A,SS433,29526.1009, 287.9816 , 5.0093, 154.4181, 3, Y, FPMA only
4U 1907+097,30602008002,B,GRS_1915p105, 27586.674, 288.8055, 10.9803, 143.865, 3, N, Faint on FPMB 
A 1145.1-6141,80102048004,A,PSR_J1119m6127,8.71563E+04,169.7468,-61.458,32.6284,1,Y,Faint SL
A 1145.1-6141,80102048004,B,PSR_J1119m6127,8.71563E+04,169.7468,-61.458,32.6284,0,Y,Faint SL on both
A 1145.1-6141,80102048006,A,PSR_J1119m6127,9.54371E+04,169.7534,-61.453,39.7571,0,Y,Corner SL in both
A 1145.1-6141,80102048006,B,PSR_J1119m6127,9.54371E+04,169.7534,-61.453,39.7571,1,Y,Corner SL in both
A 1145.1-6141,80102048008,B,PSR_J1119m6127,9.20992E+04,169.7593,-61.4482,53.4776,0,Y,Faint SL on B
Cas A,30001026002,A,1E2259p586,3.72955E+04,345.3277,58.8799,184.53,0,Y,Unident stray light on FPMA
Cas A,30001026003,A,1E2259p586,1.54591E+04,345.3727,58.8879,184.5249,0,Y,Unident stray light on FPMA
Cas A,30001026005,A,1E2259p586,1.63057E+04,345.3552,58.8882,184.5324,0,Y,Unident stray light on FPMA
Cas A,30001026007,A,1E2259p586,8.83812E+04,345.357,58.8956,162.0949,0,Y,Unident stray light on FPMA
Cen X-3,30001050002,A,HD96670,3.12888E+04,166.8523,-59.8884,242.5945,1,Y,Strong on A only
Cen X-3,30001050004,A,HD96670,5.02535E+04,166.8384,-59.8976,264.8846,0,Y,Strong SL
Cen X-3,30001050006,A,HD96670,7.04512E+04,166.8259,-59.9043,283.0171,0,Y,Strong SL
Cen X-3,60061213002,A,IGRJ11366m6002,2.15660E+04,174.1835,-60.0122,113.8887,0,Y,Strong SL
Cen X-3,60061213002,B,IGRJ11366m6002,2.15660E+04,174.1835,-60.0122,113.8887,2,Y,Strong SL
Cep X-4,60402008002,B,SWIFT_J2127d4p5654,7.12550E+04,321.9207,56.9606,97.9772,0,N,Strong SL (unident)
Complex,30002021002,A,HESSJ1640m465,6.39228E+04,250.1049,-46.5762,353.7407,1,Y,"Complex, overlapping SL, good one for checking the bench location"
Complex,30002021003,A,HESSJ1640m465,2.13593E+04,250.1324,-46.5411,353.7551,1,Y,"Complex, overlapping SL, good one for checking the bench location"
Complex,30002021040,B,HESSJ1640m465,5.23318E+04,250.2194,-46.5218,210.0984,0,Y,"Lots in B, complex overlapping sources"
Complex,30002021046,A,HESSJ1640m465,5.03510E+04,250.1532,-46.5435,353.4082,1,Y,"Complex, overlapping SL"
Complex,30301024002,B,PNE_G343,3.71066E+04,255.3785,-43.1653,299.7251,1,Y,"Complex, overlaping faint SL"
Complex,30601007002,B,SLX_1735m269,3.10348E+04,264.5893,-26.9601,158.9162,2,N,"Overlapping corner, plus faint unknown"
Complex,40001015002,A,G1d9p0d3,8.91396E+03,267.1784,-27.2197,327.3478,1,Y,Complex
Complex,40001015003,A,G1d9p0d3,8.53974E+04,267.1728,-27.2067,327.3124,0,Y,"Multiple overlapping, ?? on FPMB"
Complex,40001015005,A,G1d9p0d3,1.21642E+05,267.1756,-27.2056,327.3404,1,Y,Complex
Complex,40001015007,A,G1d9p0d3,1.44685E+05,267.1805,-27.2078,327.3454,1,Y,Complex
Complex,40001015007,B,G1d9p0d3,1.44685E+05,267.1805,-27.2078,327.3454,2,Y,Complex
Complex,40101001002,A,Arches_cluster,1.07189E+05,266.4262,-28.8427,338.7261,1,Y,Complex
Complex,40101001004,A,Arches_cluster,1.07856E+05,266.428,-28.8416,339.6101,1,Y,Complex
Complex,40112001002,B,GCR_Block_A1,1.03300E+05,266.2055,-28.7884,159.8636,1,Y,Second point source + faint overlapping SL
Complex,40401003002,A,3C_397,1.32005E+05,286.8695,7.2104,119.2559,0,N,"SL on both, overlapping on A"
Complex,40401004002,A,HESS_J1641m463,1.00699E+05,250.1692,-46.3453,357.8274,0,N,"Multiple SL, overlapping"
Complex,60061279002,A,GRS1734m292,2.02926E+04,264.3462,-29.1582,336.5919,0,Y,4U1724 and GX 3+1 (corner) then complex overlapping
Complex,60301010002,A,GRS_1734m292,2.60203E+04,264.3939,-29.1035,174.934,2,Y,"Multiple faint ones in addition to GX 3+1, hard to tell"
Complex,80001044002,B,H1743m322,5.04497E+04,266.5531,-32.2383,335.7553,1,Y,Multiple overlapping on B
Complex,80001044004,B,H1743m322,6.12842E+04,266.5483,-32.2412,336.5288,0,Y,Multiple overlapping on B
Complex,80001044006,B,H1743m322,2.56694E+04,266.5326,-32.2508,338.8013,0,Y,Multiple overlapping on B
Complex,80002040002,B,H1743m322,2.82954E+04,266.5661,-32.2542,305.1063,0,Y,"Complex on B, probably 1E 1740? Lots of overlap"
Complex,80002040004,B,H1743m322,2.81071E+04,266.5381,-32.2641,324.5894,0,Y,Overlapping SL in the corner on B. 1E 1740 + others
Complex,80002040006,B,H1743m322,2.63574E+04,266.5338,-32.2611,330.2377,0,Y,Overlapping SL in the corner on B. 1E 1740 + others
Complex,80101050002,A,GRS_1739m278,4.33830E+04,265.641,-27.7613,338.0784,2,Y,"Complicated, lots of overlapping SL sources"
Complex,80102101002,A,GRS_1739m278,2.71372E+04,265.6441,-27.7655,336.9233,1,Y,GX 3+1 on B and lots of overlapping SL on A
Complex,80102101004,A,GRS_1739m278,2.58994E+04,265.6375,-27.7659,338.4377,1,Y,GX 3+1 on B and lots of overlapping SL on A
Complex,80102101005,A,GRS_1739m278,2.70232E+04,265.6167,-27.777,339.6481,1,Y,GX 3+1 on B and lots of overlapping SL on A
Complex,80202012002,A,H_1743m322,6.58626E+04,266.5889,-32.2166,155.2824,0,Y,"PSF bleed, but SL on FPMA, prob 1E 1740"
Complex,80202012004,A,H_1743m322,6.56881E+04,266.5989,-32.2165,155.5985,0,Y,"PSF bleed, but SL on FPMA, prob 1E 1740"
Complex,80202012006,B,H_1743m322,6.57091E+04,266.5408,-32.2575,336.8241,2,Y,"PSF bleed, lots of overlapping stuff on B, SL on A"
Complex,90101001002,A,IGR_J17511m3057,4.22449E+04,267.8167,-30.9367,158.3352,0,Y,"Mutliple overlapping, probably 1E 1740+stuff"
Complex,90101001002,B,IGR_J17511m3057,4.22449E+04,267.8167,-30.9367,158.3352,0,N,"Mutliple overlapping, probably 1E 1740+stuff"
Complex,90201020002,A,COm0d4m0d22,9.35283E+04,266.3557,-29.4081,336.0053,2,Y,Multiple sources in FoV + SL on FPMB
Complex,90201020002,B,COm0d4m0d22,9.35283E+04,266.3557,-29.4081,336.0053,1,Y,Multiple sources + GR
Complex,90301012002,B,IGRJ17329m2731,2.08460E+04,263.1904,-27.5221,336.0032,0,Y,"Corner SL, complex"
Complex,90401307002,A,Swift_J1658d2m4242,3.33371E+04,254.5796,-42.6802,153.8274,1,Y,"Corner, unclear what it is (more on FPMB)"
Complex,90401335002,B,H_1743m322,3.84475E+04,266.5444,-32.2573,335.7545,1,Y,Some SL on B? Multiple.
Complex,90501343002,A,XTE_J1739m285,2.73145E+04,264.9419,-28.5278,337.432,0,N,Complex
Complex,90601307002,B,XTE_J1739m285,2.91671E+04,264.989,-28.4662,153.9091,1,N,Multiple overlapping
Crab,10110001002,A,Crab_nuabs_01,2.10684E+04,85.3308,22.8085,153.1198,0,N,Crab SL
Crab,10110001002,B,Crab_nuabs_01,2.10684E+04,85.3308,22.8085,153.1198,NA,N,Crab SL
Crab,10110002002,A,Crab_nuabs_02,2.00876E+04,81.9277,21.202,153.0943,0,N,Crab SL
Crab,10110003002,B,Crab_nuabs_03,2.28274E+04,82.8272,23.4025,153.074,NA,N,Crab SL
Crab,10110004002,A,Crab_nuabs_04,2.08881E+04,84.6265,23.3282,332.1382,,N,Crab SL
Crab,10110005001,B,Crab_nuabs_05,2.17760E+04,84.5219,20.3241,333.0453,NA,N,Crab SL
Crab,10210001002,A,Crab_sl_201702,2.01730E+04,81.8507,21.1288,331.799,,N,Crab SL
Crab,10210001002,B,Crab_sl_201702,2.01730E+04,81.8507,21.1288,331.799,NA,N,Crab SL
Crab,10210001003,A,Crab_sl_201702,1.92433E+04,81.7819,21.1194,331.5615,,N,Crab SL
Crab,10210001003,B,Crab_sl_201702,1.92433E+04,81.7819,21.1194,331.5615,NA,N,Crab SL
Crab,10311001002,A,Crab_sl_PA150,1.90954E+03,85.4334,22.9219,151.1285,,N,Crab SL
Crab,10311001002,B,Crab_sl_PA150,1.90954E+03,85.4334,22.9219,151.1285,NA,N,Crab SL
Crab,10311001004,A,Crab_sl_PA150,1.83858E+04,85.443,22.9052,152.2846,,N,Crab SL
Crab,10311001004,B,Crab_sl_PA150,1.83858E+04,85.443,22.9052,152.2846,NA,N,Crab SL
Crab,10311001006,A,Crab_sl_PA150,2.07295E+04,85.4267,22.8988,152.7913,,N,Crab SL
